1.8      3.70 -113.23292872 -112.70907658 -113.11254515 -112.82946016
1.8      3.80 -113.22364350 -112.72959455 -113.10637633 -112.84686172
1.8      3.90 -113.21423350 -112.74915914 -113.10037671 -112.86301593
1.8      4.00 -113.20483376 -112.76781354 -113.09463966 -112.87800765
1.8      4.10 -113.19554621 -112.78557141 -113.08920475 -112.89191288
1.8      4.20 -113.18644649 -112.80243107 -113.08407795 -112.90479961
1.8      4.40 -113.16901489 -112.83343441 -113.07505685 -112.92739245
1.8      4.60 -113.15280782 -112.86083015 -113.06741980 -112.94621818
1.8      4.80 -113.13793304 -112.88474336 -113.06099862 -112.96167777
1.8      5.00 -113.12439951 -112.90540910 -113.05559359 -112.97421502
1.8      5.20 -113.11215747 -112.92313064 -113.05101996 -112.98426814
1.8      5.40 -113.10112622 -112.93823889 -113.04711658 -112.99224853
1.8      5.60 -113.09121366 -112.95106334 -113.04375843 -112.99851856
1.8      5.80 -113.08232770 -112.96191381 -113.04084149 -113.00340002
1.8      6.00 -113.07438118 -112.97107082 -113.03828723 -113.00716477
1.8      7.00 -113.04608779 -112.99905645 -113.02921862 -113.01592562
1.8      8.00 -113.03108171 -113.01041044 -113.02379641 -113.01769574
1.8      9.00 -113.02358723 -113.01487961 -113.02055362 -113.01791322
1.8     10.00 -113.01992525 -113.01649601 -113.01854198 -113.01787928
1.8     12.00 -113.01779606 -113.01631745 -113.01775651 -113.01635700
1.8     14.00 -113.01771450 -113.01519699 -113.01771426 -113.01519723
1.8     16.00 -113.01769439 -113.01441546 -113.01769439 -113.01441546
1.8     18.00 -113.01768283 -113.01400524 -113.01768283 -113.01400524
1.8     20.00 -113.01767552 -113.01373062 -113.01767552 -113.01373062
          
1.9      2.10 -112.60494177 -112.07510194 -112.51180173 -112.16824198
1.9      2.20 -112.82342638 -112.29454663 -112.72772209 -112.39025092
1.9      2.30 -112.98091506 -112.45274697 -112.92098580 -112.51267622
1.9      2.40 -113.09414611 -112.56648756 -113.03697889 -112.62365477
1.9      2.50 -113.17515890 -112.64802264 -113.13719722 -112.68598432
1.9      2.60 -113.23241039 -112.70564288 -113.17348413 -112.76456915
1.9      2.70 -113.27204264 -112.74553226 -113.20689394 -112.81068096
1.9      2.80 -113.29855443 -112.77219903 -113.22748542 -112.84326804
1.9      2.90 -113.31526336 -112.78898067 -113.23875824 -112.86548580
1.9      3.00 -113.32463605 -112.79836277 -113.24264188 -112.88035694
1.9      3.10 -113.32852766 -112.80221754 -113.24106318 -112.88968202
1.9      3.20 -113.32834784 -112.80196962 -113.23545054 -112.89486692
1.9      3.30 -113.32517476 -112.79870971 -113.22691841 -112.89696605
1.9      3.40 -113.31983363 -112.79327317 -113.21635164 -112.89675516
1.9      3.50 -113.31295418 -112.78629803 -113.20434147 -112.89491074
1.9      3.60 -113.30501549 -112.77827209 -113.19128702 -112.89200056
1.9      3.70 -113.29459713 -112.75755548 -113.17116228 -112.88099033
1.9      3.80 -113.28557652 -112.77830047 -113.16535869 -112.89851830
1.9      3.90 -113.27632648 -112.79816788 -113.15966031 -112.91483405
1.9      4.00 -113.26700772 -112.81714661 -113.15415216 -112.93000217
1.9      4.10 -113.25774216 -112.83525656 -113.14885179 -112.94414694
1.9      4.20 -113.24862118 -112.85249813 -113.14378279 -112.95733652
1.9      4.40 -113.23106228 -112.88433656 -113.13484056 -112.98055827
1.9      4.60 -113.21466421 -112.91261094 -113.12726520 -113.00000995
1.9      4.80 -113.19957216 -112.93738788 -113.12091239 -113.01604765
1.9      5.00 -113.18581736 -112.95886191 -113.11559586 -113.02908340
1.9      5.20 -113.17336294 -112.97731422 -113.11111384 -113.03956332
1.9      5.40 -113.16213504 -112.99306755 -113.10731633 -113.04788626
1.9      5.60 -113.15204442 -113.00645187 -113.10406130 -113.05443500
1.9      5.80 -113.14299969 -113.01778234 -113.10123239 -113.05954964
1.9      6.00 -113.13491357 -113.02734711 -113.09877689 -113.06348379
1.9      7.00 -113.10619663 -113.05655860 -113.09011354 -113.07264169
1.9      8.00 -113.09114320 -113.06829311 -113.08495249 -113.07448382
1.9      9.00 -113.08388977 -113.07272659 -113.08191412 -113.07470225
1.9     10.00 -113.08055408 -113.07416355 -113.08005080 -113.07466683
1.9     12.00 -113.07800450 -113.07449794 -113.07798705 -113.07451538
1.9     14.00 -113.07704665 -113.07447251 -113.07704642 -113.07447274
1.9     16.00 -113.07648634 -113.07445175 -113.07648634 -113.07445175
1.9     18.00 -113.07597895 -113.07443946 -113.07597895 -113.07443946
1.9     20.00 -113.07574548 -113.07443164 -113.07574548 -113.07443164
          
2.0      2.10 -112.46600008 -111.98600955 -112.38249891 -112.06951072
2.0      2.20 -112.73048972 -112.25128088 -112.63710002 -112.34467057
2.0      2.30 -112.92113333 -112.44248846 -112.82947065 -112.53415114
2.0      2.40 -113.05852385 -112.58026507 -112.97157116 -112.66721776
2.0      2.50 -113.15713717 -112.67912177 -113.07634130 -112.75991764
2.0      2.60 -113.22747808 -112.74973555 -113.18590140 -112.79131223
2.0      2.70 -113.27687161 -112.79929217 -113.21969824 -112.85646555
2.0      2.80 -113.31069617 -112.83319622 -113.24687665 -112.89701575
2.0      2.90 -113.33290303 -112.85540945 -113.26342356 -112.92488892
2.0      3.00 -113.34642005 -112.86887610 -113.27154447 -112.94375169
2.0      3.10 -113.35343696 -112.87580134 -113.27333440 -112.95590391
2.0      3.20 -113.35560845 -112.87785336 -113.27041680 -112.96304501
2.0      3.30 -113.35419487 -112.87630408 -113.26398222 -112.96651673
2.0      3.40 -113.35015955 -112.87212646 -113.25507052 -112.96721548
2.0      3.50 -113.34423816 -112.86606363 -113.24442432 -112.96587747
2.0      3.60 -113.33699100 -112.85868154 -113.23254757 -112.96312498
2.0      3.70 -113.32884444 -112.85041153 -113.21985698 -112.95939899
2.0      3.80 -113.32012353 -112.84158558 -113.20646887 -112.95524024
2.0      3.90 -113.30918452 -112.81918474 -113.18975597 -112.93861329
2.0      4.00 -113.29999969 -112.83809287 -113.18479440 -112.95329816
2.0      4.10 -113.29079606 -112.85642520 -113.17970828 -112.96751298
2.0      4.20 -113.28168393 -112.87394965 -113.17481841 -112.98081516
2.0      4.40 -113.26403983 -112.90646888 -113.16595797 -113.00455074
2.0      4.60 -113.24747953 -112.93552199 -113.15840293 -113.02459859
2.0      4.80 -113.23219025 -112.96110328 -113.15206422 -113.04122931
2.0      5.00 -113.21822818 -112.98335244 -113.14676595 -113.05481467
2.0      5.20 -113.20557172 -113.00251844 -113.14232843 -113.06576174
2.0      5.40 -113.19415558 -113.01890885 -113.13857095 -113.07449349
2.0      5.60 -113.18389459 -113.03284968 -113.13538944 -113.08135483
2.0      5.80 -113.17469880 -113.04465865 -113.13264767 -113.08670978
2.0      6.00 -113.16648121 -113.05462981 -113.13026265 -113.09084837
2.0      7.00 -113.13740158 -113.08503461 -113.12191326 -113.10052293
2.0      8.00 -113.12251743 -113.09706390 -113.11708735 -113.10249398
2.0      9.00 -113.11560198 -113.10125490 -113.11411984 -113.10273704
2.0     10.00 -113.11271561 -113.10239375 -113.11240917 -113.10270019
2.0     12.00 -113.11052208 -113.10254383 -113.11051455 -113.10255136
2.0     14.00 -113.10975168 -113.10249271 -113.10975158 -113.10249281
2.0     16.00 -113.10910584 -113.10247049 -113.10910584 -113.10247049
2.0     18.00 -113.10881267 -113.10245740 -113.10881267 -113.10245740
2.0     20.00 -113.10862215 -113.10244902 -113.10862215 -113.10244902
          
2.1      2.10 -112.27225806 -111.83758586 -112.20732497 -111.90251894
2.1      2.20 -112.59254703 -112.15850236 -112.50586789 -112.24518150
2.1      2.30 -112.82308127 -112.38947847 -112.73451236 -112.47804738
2.1      2.40 -112.98936203 -112.55604687 -112.90443526 -112.64097364
2.1      2.50 -113.10910257 -112.67594854 -113.03003165 -112.75501947
2.1      2.60 -113.19485016 -112.76176071 -113.13035404 -112.82625683
2.1      2.70 -113.25576194 -112.82277621 -113.21115865 -112.86737950
2.1      2.80 -113.29819746 -112.86523733 -113.24212271 -112.92131208
2.1      2.90 -113.32686794 -112.89387225 -113.26439210 -112.95634809
2.1      3.00 -113.34525137 -112.91217033 -113.27741684 -112.98000486
2.1      3.10 -113.35593827 -112.92273530 -113.28305556 -112.99561801
